element_id,element_type,entity_id,entity_type
1844,event,Courthouse Square,location
1844,event,Homer Barron,character
1850,event,Grierson House,location
1850,event,Unnamed Girls,character
1850,event,Emily Grierson,character
1848,event,Grierson House,location
1848,event,Emily Grierson,character
1831,event,Jefferson Drug Store,location
1831,event,Unnamed Negro Delivery Boy,character
1831,event,Unnamed Druggist,character
1831,event,Emily Grierson,character
1847,event,Grierson House,location
1847,event,Homer Barron,character
1847,event,Emily Grierson,character
1847,event,Tobe,character
1914,event,Courthouse Square,location
1914,event,Homer Barron,character
1914,event,Emily Grierson,character
1914,event,Unnamed Townspeople,character
2756,event,Courthouse Square,location
2756,event,Unnamed Townspeople,character
1817,event,Jefferson Town Hall,location
1817,event,Unnamed Neighbor Man,character
1817,event,Unnamed Ladies,character
1817,event,Unnamed Neighbor Woman,character
1817,event,Tobe,character
1817,event,Judge Stevens,character
1854,event,Jefferson Cemetery,location
1854,event,Unnamed Alabama Kinfolk,character
1854,event,Unnamed Ladies,character
1854,event,Emily Grierson,character
1854,event,Unnamed Very Old Men,character
1854,event,Unnamed Townspeople,character
1808,event,Grierson House,location
1808,event,Mr. Grierson,character
1829,event,Courthouse Square,location
1829,event,Homer Barron,character
1829,event,Emily Grierson,character
1834,event,Courthouse Square,location
1834,event,Unnamed Elks' Club Members,character
1834,event,Homer Barron,character
1834,event,Emily Grierson,character
1834,event,Unnamed Townspeople,character
1814,event,Grierson House,location
1814,event,Board of Aldermen (1911),character
1814,event,Emily Grierson,character
1814,event,Tobe,character
1806,event,Jefferson Town Hall,location
1806,event,Emily Grierson,character
1806,event,Colonel Sartoris,character
1819,event,Grierson House,location
1819,event,Unnamed Men,character
1819,event,Emily Grierson,character
1830,event,Grierson House,location
1830,event,Old Lady Wyatt,character
1830,event,Mr. Grierson,character
1843,event,Jefferson Clothing Store,location
1843,event,Emily Grierson,character
1825,event,Grierson House,location
1825,event,Emily Grierson,character
1825,event,Mr. Grierson,character
1825,event,Unnamed Townspeople,character
1826,event,Grierson House,location
1826,event,Unnamed Ladies,character
1826,event,Emily Grierson,character
1826,event,Unnamed Ministers,character
1826,event,Unnamed Doctors,character
1841,event,Grierson House,location
1841,event,Unnamed Alabama Kinfolk,character
1841,event,Emily Grierson,character
1804,event,Jefferson Cemetery,location
1804,event,Unnamed Dead Confederate Soldiers,character
1804,event,Unnamed Dead Union Soldiers,character
1837,event,Grierson House,location
1837,event,Unnamed Ladies,character
1837,event,Emily Grierson,character
1837,event,Unnamed Baptist Minister,character
1853,event,Grierson House,location
1853,event,Unnamed Ladies,character
1853,event,Tobe,character
1852,event,Grierson House,location
1852,event,Emily Grierson,character
1852,event,Tobe,character
1846,event,Grierson House,location
1846,event,Homer Barron,character
1846,event,Unnamed Neighbor Woman,character
1846,event,Tobe,character
1799,event,Jefferson Cemetery,location
1799,event,Unnamed Townspeople,character
1851,event,Grierson House,location
1851,event,Unnamed Girls,character
1851,event,Emily Grierson,character
1851,event,Tobe,character
1811,event,Jefferson Town Hall,location
1811,event,Board of Aldermen (1911),character
1811,event,Unnamed Mayor,character
1824,event,Grierson House,location
1824,event,Old Lady Wyatt,character
1824,event,Unnamed Townspeople,character
1845,event,Grierson House,location
1845,event,Unnamed Alabama Kinfolk,character
1840,event,Parsonage- Baptist Minister,location
1840,event,Unnamed Wife of Baptist Minister,character
1828,event,Courthouse Square,location
1828,event,Unnamed Little Boys,character
1828,event,Homer Barron,character
1828,event,Unnamed Construction Workers,character
1855,event,Grierson House,location
1855,event,Homer Barron,character
1855,event,Unnamed Townspeople,character
1842,event,Jefferson Jeweler,location
1842,event,Emily Grierson,character
1842,event,Unnamed Jeweler,character